,STotalM2,SConstrM2,precio_pesos_constantes
73350,520,300,67784.8562662238
73502,1111,55,8408.59785561632
73554,500,500,30393.9566796273
73583,1111111,111111,6569.67358865709
73725,38000,38000,8659.84414681403
73876,700,270,52057.6777458779
73916,520,300,62214.5396744455
74087,675,402,179273.844154694
74250,418,169,144371.234575208
74403,39000,100,10509.2800418714
74478,491,490,315616.878037857
74592,450,450,176762.645614953
75057,1111,45,5972.30630814761
75069,500,80,3534.97453829541
75122,1111,1111,3316.03496485425
75208,800,50,3663.73613264644
75263,460,450,150169.095183005
75267,677,568,494987.089972143
75600,420,42,2257.1913103088
75615,800,50,4192.94385335047
75873,500,70,1781650.37660514
75906,403,403,196725.191407032
76058,423,406,155894.407952949
76149,685,60,6085410.69819792
76267,490,390,192978.851887965
76356,500,500,419811.283335513
76462,418,260,210742.195608398
76510,1000,500,40670.9137597343
76520,1000,40,3363.43914224653
76974,600,600,1762.40626292182
77065,465,195,133623.778245385
77299,491,490,278880.416495774
77317,426,342,145894.633997176
77359,11111,1111,6778.48562662238
77381,800,150,41153.6265509113
77408,478,478,437688.713055129
77488,595,280,416841.811420504
77581,406,406,126246.751215143
77626,1111,1111,13453.7565689861
77819,420,350,298730.964243486
78039,718,487,356330.075321027
78050,597,597,309495.916871546
78271,431,415,328266.534791347
78465,500,500,30393.9566796273
78491,440,440,116628.237657499
78570,404,400,349733.673612501
78893,25000,40,3284.83679432855
79344,718,487,346805.7572193
79349,520,300,56661.403423655
79481,2222,1111,5780.10402302928
79738,800,50,3793.24055665788
79764,1111,27,3714.81692751
79919,409,409,336658.003240381
80007,442,330,267247.55649077
80272,478,445,885015.351823977
80276,440,425,361835.347289935
80500,620,620,260288.388729389
80897,500,500,40796.2104650316
80975,431,415,218924.375012623
81125,550,350,17674.8726914771
81176,545,545,236004.116013583
81522,700,700,263427.744510497
81617,450,450,164995.696657381
81668,440,236,167850.246812796
81869,445,300,363745.530447946
82242,1049,1049,663761.513867983
82384,490,390,135320.649350296
82579,1111,45,4992.95192737939
82768,1000,1000,2437.56095724628
83025,1000,46,5831.41188287495
83062,431,415,228304.045242431
83165,457,457,142086.681817811
83174,475,475,217101.208373961
83297,420,420,240441.900608595
83370,440,440,116628.237657499
83441,478,445,890825.188302568
83461,1340,110,17870.9204499822
83499,500,400,52538.1076589685
83720,500,500,446208.666393239
83770,457,457,183610.178646563
84071,1000,1000,4880.50965116811
84078,1000,500,47595.5788758702
84118,457,385,175724.096613815
84260,403,403,189370.126822714
84499,450,450,130052.158957238
84701,550,350,23070.70167179
84722,416,405,171621.823066292
84887,600,525,58314.1188287495
84993,457,385,166161.628258971
85132,500,400,22449.8994129771
85284,1111,1111,16496.5478453786
85289,605,377,215255.180492508
85493,900,850,39562.2924426121
85715,2000,2000,22159.6450658753
85724,35000,30,4956.70010044371
85932,1111,1111,5255.73887092567
