,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,precio_pesos_constantes,year,COMUNA
154366,43940,2022-02-01,Departamento,35.0,35.0,1,1,2,0.0,No,35 años,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4782513536116,-34.6851550295616,8430.18346259019,2022,COMUNA 8
154636,43620,2022-09-01,Departamento,50.0,50.0,2,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,S,-58.458638730422,-34.6871947399717,14599.2600421856,2022,COMUNA 8
156575,44922,2022-04-01,Departamento,70.0,70.0,3,2,4,0.0,No,50 años,   0,   0,   0,   0,Sí,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4890678707251,-34.6796132385919,7098.67743747385,2022,COMUNA 8
156578,42961,2022-04-01,Departamento,49.0,49.0,2,1,3,0.0,No,40 años,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,Sí,   0,   0,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4608848455398,-34.6907745782719,6193.59606419594,2022,COMUNA 8
156935,43619,2022-01-01,Departamento,60.0,60.0,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4608214837371,-34.6871685928244,7985.58221173258,2022,COMUNA 8
156990,44602,2021-06-01,Departamento,42.0,38.0,2,1,3,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4694568797914,-34.681654652195,8932.8880355907,2021,COMUNA 8
157697,44929,2021-08-01,Departamento,45.0,45.0,1,1,2,0,0,0 años,0,Sí,0,No,0,0,0,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.473790119755,-34.6797989539784,8958.89371312015,2021,COMUNA 8
157833,44933,2021-05-01,Departamento,57.0,57.0,2,1,3,0,0,20 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4650599138127,-34.6799042177149,5151.64907623301,2021,COMUNA 8
159046,43610,2022-12-01,Departamento,20.0,20.0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4804661364438,-34.6869315102529,5045.15871336979,2022,COMUNA 8
159619,43941,2022-09-01,Departamento,42.0,40.0,1,1,2,,,2.0,,0.0,,0.0,,,,1.0,,,0.0,,,,,0.0,0.0,1,,,,,,0.0,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4760686702136,-34.685181487516,8540.57566525422,2022,COMUNA 8
159715,47230,2022-06-01,Departamento,55.0,55.0,2,1,3,,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4779309602364,-34.6671252038901,8017.8212189204,2022,COMUNA 8
160038,43947,2021-02-01,Departamento,49.0,49.0,2,1,3,0,No,40 años,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.462972510268,-34.6853394147918,4583.48974059188,2021,COMUNA 8
160048,46572,2022-01-01,Departamento,12.0,12.0,1,1,1,0.0,Sí,0,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4779950161454,-34.670731173506,3887.81996676367,2022,COMUNA 8
160086,45917,2021-12-01,Departamento,65.0,70.0,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4715118756449,-34.6744163657508,7423.84476368184,2021,COMUNA 8
161251,43619,2022-01-01,Departamento,49.0,49.0,2,1,3,0.0,No,40 años,No,Sí,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4608214837371,-34.6871685928244,6283.55767601264,2022,COMUNA 8
161926,46904,2021-07-01,Departamento,70.0,45.0,2,1,2,0,Sí,0 años,0,No,0,No,No,Sí,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4714162042723,-34.6690073979571,14284.4583101414,2021,COMUNA 8
