,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,precio_pesos_constantes
2868,4493,155881,76181,2021-08-01,Departamento,80.0,62.0,1,1,2,0.0,No,5.0,0,Sí,0,Sí,Sí,No,Sí,Sí,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.4773018041707,-34.5084340005887,2021,381.3149205853113,23641.5250762893
2268,5858,201985,71574,2021-05-01,Departamento,30.0,30.0,0,1,1,0.0,No,8.0,0,No,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Florida,U,-58.4799263182341,-34.5336500181903,2021,198.83557838092293,5965.06735142769
4661,4786,165425,78810,2021-10-01,Departamento,457.0,457.0,4,4,6,0.0,No,0.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,Sí,2,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,La Lucila,N,-58.4835803721171,-34.493930558228,2021,395.6550363538447,180814.351613707
2208,3040,104633,77166,2021-04-01,Departamento,40.0,40.0,1,1,2,0.0,No,40.0,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.481562192651,-34.5029721461578,2021,224.06962091390923,8962.78483655637
943,5580,192415,71575,2021-10-01,Departamento,80.0,80.0,2,1,3,0.0,No,25.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.4777475977574,-34.5336764055305,2021,174.23381550799374,13938.7052406395
4514,3747,128707,74516,2022-02-01,Departamento,25.0,25.0,0,1,1,0.0,No,0.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Munro,N,-58.5210263742871,-34.5169143523625,2022,200.7186538711952,5017.96634677988
3720,5176,178847,79134,2022-07-01,Departamento,30.0,30.0,0,1,1,,0,30.0,,0,,0,0,1,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.4944365724996,-34.4919948227022,2022,223.9614865555353,6718.84459666606
2529,193,6689,77159,2022-09-01,Departamento,23.0,23.0,0,1,1,,0.0,30.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.4968075555887,-34.5027862868896,2022,342.76557853863085,7883.60830638851
4811,532,18818,75189,2021-09-01,Departamento,35.0,35.0,1,1,2,0.0,No,35.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.4882882785856,-34.5137108688785,2021,240.44266541108647,8415.49328938803
3248,5806,200110,70584,2022-12-01,Departamento,90.0,80.0,2,2,3,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1,,0.0,,,,0.0,0.0,,Vicente López,Bs.As. G.B.A. Norte,Florida,N,-58.4865586252788,-34.5389796743319,2022,252.25793566849,20180.6348534792
4702,3266,111785,71570,2021-12-01,Departamento,40.0,35.0,1,1,1,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Vicente López,Bs.As. G.B.A. Norte,Munro,S,-58.4886411717505,-34.5335440803375,2021,115.41271271270088,4039.44494494453
84,3610,123918,77160,2021-11-01,Departamento,38.0,38.0,0,1,1,0.0,No,28.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.4946296551563,-34.5028129546265,2021,208.75253892925525,7932.5964793117
4147,5441,187789,75847,2022-02-01,Departamento,100.0,100.0,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.4882241532366,-34.5101048231601,2022,180.646788484076,18064.6788484076
4008,3879,133663,71574,2022-05-01,Departamento,54.0,50.0,1,1,2,,0,9.0,,0,,0,1,0,0,0,,,0,,,,,0,0,1,,,,,,0.0,,,Vicente López,Bs.As. G.B.A. Norte,Florida,U,-58.4799263182341,-34.5336500181903,2022,202.626377864182,10131.3188932091
3323,540,18954,73866,2021-09-01,Departamento,75.0,75.0,2,1,3,0.0,No,17.0,0,Sí,0,Sí,No,No,No,Sí,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Vicente López,Bs.As. G.B.A. Norte,Olivos,U,-58.5036651482081,-34.5207361543155,2021,352.6492426029267,26448.6931952195
722,999,34650,71581,2022-11-01,Departamento,81.0,75.0,1,1,2,,0.0,5.0,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,1.0,1.0,1,,0.0,,,,0.0,0.0,,Vicente López,Bs.As. G.B.A. Norte,Vicente López,U,-58.4646752155975,-34.5338339137248,2022,421.7378318731573,31630.3373904868
