,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
3761,5002,50140,65345,2021-01-01,Departamento,54.0,46.0,1,2,2,0.0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Las Cañitas,U,-58.432580969731,-34.5684796336292,2021,254.6294619370761,Desconocido,11712.9552491055
6593,8666,87073,63040,2021-09-01,Departamento,40.0,40.0,1,1,1,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Palermo Hollywood,U,-58.4371575369214,-34.5810497055365,2021,180.331999058315,Desconocido,7213.2799623326
11608,16703,168956,58457,2021-04-01,Departamento,35.0,35.0,0,1,1,0.0,No,0.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,Sí,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Congreso,N,-58.3874365898741,-34.6068730218763,2021,240.07459383633145,Desconocido,8402.6107842716
1800,5921,59488,63042,2022-01-01,Departamento,40.0,35.0,1,1,1,0.0,No,5.0,0,No,0,No,No,Sí,Sí,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo Hollywood,U,-58.4327975379117,-34.5811009765152,2022,300.2177580512486,Desconocido,10507.6215317937
8165,5635,56305,58790,2021-03-01,Departamento,50.0,50.0,2,1,2,0.0,No,0.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,Sí,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,,N,-58.3786838883162,-34.6051688383689,2021,145.7852970718738,Desconocido,7289.26485359369
9765,15335,155609,66654,2021-02-01,Departamento,45.0,37.0,2,1,3,0.0,No,40.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Belgrano Barrancas,U,-58.4477136042752,-34.5610874285151,2021,297.30744263298647,Desconocido,11000.3753774205
5426,5469,54794,60419,2021-07-01,Departamento,45.0,45.0,0,1,1,0.0,No,15.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Barrio Norte,U,-58.4134216894778,-34.5957542502812,2021,158.71620344601533,Desconocido,7142.22915507069
12155,1363,13779,65999,2022-06-01,Departamento,73.0,67.0,2,1,3,,,49.0,,,,,1,,,1,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Las Cañitas,U,-58.4412374117942,-34.5647708948694,2022,215.4041521501,Desconocido,14432.0781940567
14436,2755,27572,60754,2021-06-01,Departamento,100.0,50.0,1,1,2,0.0,No,8.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Barrio Norte,U,-58.4003089582347,-34.5941020398377,2021,262.732001046786,Desconocido,13136.6000523393
6758,15839,160365,62726,2021-04-01,Departamento,45.0,45.0,1,1,2,0.0,No,0.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Barrio Norte,N,-58.4044876154113,-34.5832335118642,2021,186.7246840949244,Desconocido,8402.6107842716
15169,176,1910,58454,2022-03-01,Departamento,29.0,29.0,1,1,1,0.0,0,52.0,0,0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Congreso,U,-58.3939787325361,-34.6067984392596,2022,227.0352870233669,Desconocido,6584.02332367764
15601,8577,86074,63703,2021-05-01,Departamento,37.0,33.0,0,1,1,0.0,No,5.0,0,No,0,No,No,No,Sí,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Palermo Hollywood,U,-58.4261959106859,-34.5775714856418,2021,246.49038642263213,Desconocido,8134.18275194686
14392,684,6952,59776,2022-04-01,Departamento,42.0,42.0,0,1,2,0.0,No,30.0,   0,No,   0,No,No,No,No,No,   0,   0,No,   0,   0,   0,   0,No,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,,U,-58.3807750211549,-34.5997349309175,2022,139.43830680752214,Desconocido,5856.40888591593
9489,4610,46520,66654,2022-07-01,Departamento,180.0,180.0,3,2,5,,0,40.0,,0,,0,0,0,0,0,,,0,,,,,0,0,2,,,,,,0.0,,,Capital Federal,Capital Federal,Belgrano Barrancas,U,-58.4477136042752,-34.5610874285151,2022,349.688014193325,Desconocido,62943.8425547985
1159,9300,93494,61075,2021-08-01,Departamento,30.0,30.0,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Barrio Norte,S,-58.417721215505,-34.592097542674,2021,232.26761478459667,Desconocido,6968.0284435379
2480,16403,165853,60094,2021-07-01,Departamento,78.0,75.0,2,1,3,0.0,No,65.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Barrio Norte,U,-58.4047304135479,-34.5976580422902,2021,149.64670610624265,Desconocido,11223.5029579682
5664,13080,132736,60746,2021-01-01,Departamento,65.0,55.0,2,1,3,0.0,No,40.0,0,No,0,No,No,Sí,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo Chico,U,-58.4177518517814,-34.5939005980133,2021,316.5663580839327,Desconocido,17411.1496946163
11454,13387,135926,64042,2021-06-01,Departamento,50.0,45.0,1,1,2,0.0,Sí,30.0,0,Sí,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo Chico,U,-58.4043662810383,-34.5760212332826,2021,233.5395564860311,Desconocido,10509.2800418714
6205,12373,125090,62397,2022-07-01,Departamento,30.0,30.0,1,1,2,,1.0,50.0,,,,,1.0,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Barrio Norte,U,-58.4045179557422,-34.5850365801172,2022,273.7307057900987,Desconocido,8211.92117370296
245,2920,29259,63379,2022-03-01,Departamento,90.0,90.0,2,1,3,0.0,No,25.0,0,Sí,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Botánico,U,-58.4153268620484,-34.5795014426548,2022,351.1479105961411,Desconocido,31603.3119536527
16837,15561,157641,59113,2021-12-01,Departamento,31.0,31.0,0,1,1,0.0,0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Barrio Norte,U,-58.3917378435729,-34.6032171953248,2021,176.0873995180703,Desconocido,5458.70938506018
11507,17679,178559,62397,2021-02-01,Departamento,28.0,26.0,0,1,1,0.0,No,45.0,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Barrio Norte,U,-58.4045179557422,-34.5850365801172,2021,199.7931425386204,Desconocido,5194.62170600413
7671,498,5094,58761,2022-08-01,Departamento,37.0,37.0,1,1,2,,0.0,30.0,,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,,U,-58.4419225283189,-34.6044377537247,2022,150.85391029252216,Desconocido,5581.59468082332
9148,6689,66851,64687,2022-03-01,Departamento,60.0,55.0,2,1,3,0.0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Las Cañitas,U,-58.4326428326119,-34.572085734386,2022,222.31767066963457,Desconocido,12227.4718868299
11828,2673,26815,58435,2021-10-01,Departamento,40.0,38.0,1,1,2,0.0,No,5.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,,U,-58.4354117384785,-34.606317940221,2021,213.9713523782387,Desconocido,8130.91139037307
5724,14653,148598,65016,2021-07-01,Departamento,33.0,33.0,1,1,2,0.0,No,25.0,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Las Cañitas,U,-58.4326118997975,-34.5702826842865,2021,231.89055698281484,Desconocido,7652.38838043289
11052,7153,71615,58455,2021-02-01,Departamento,25.0,23.0,1,1,1,0.0,Sí,50.0,No,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Congreso,U,-58.3917980209874,-34.606823339092,2021,292.28050519716345,Desconocido,6722.45161953476
3256,8668,87083,55492,2021-08-01,Departamento,35.0,35.0,1,1,2,0.0,No,20.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Congreso,U,-58.3964312204596,-34.6230010898322,2021,163.53536142997115,Desconocido,5723.73765004899
