,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_pesos_constantes
755,56,11165,45143,2021-07-01,Departamento,45.0,45.0,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Merlo,Bs.As. G.B.A. Oeste,Merlo,U,-58.7247256750206,-34.6747026245218,2021,6887.1495423896
1286,1393,201204,45476,2022-01-01,Departamento,150.0,100.0,3,2,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0,0,Merlo,Bs.As. G.B.A. Oeste,Merlo,S,-58.7159598793509,-34.6730230697817,2022,9456.85937861433
1234,1062,155792,48102,2021-07-01,Departamento,30.0,30.0,2,1,3,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Merlo,Bs.As. G.B.A. Oeste,Merlo,U,-58.728752804312,-34.6584159066368,2021,4336.35341557864
1438,1404,202557,39559,2022-11-01,Departamento,50.0,47.0,2,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Merlo,Bs.As. G.B.A. Oeste,Libertad,U,-58.705714980715,-34.7056262322308,2022,5302.46180744312
3,1104,161855,47456,2022-07-01,Departamento,68.0,66.0,2,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Merlo,Bs.As. G.B.A. Oeste,San Antonio de Padua,S,-58.7026457787057,-34.6623899861598,2022,9257.07477762879
819,975,143383,40214,2021-02-01,Departamento,50.0,35.0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Merlo,Bs.As. G.B.A. Oeste,Libertad,S,-58.7121895970277,-34.7019288204866,2021,3514.00880112044
440,1244,181046,46456,2021-06-01,Departamento,50.0,50.0,2,1,3,0.0,No,0,No,Sí,No,No,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,No,No,1,0.0,No,0.0,0.0,0.0,0.0,No,0,Merlo,Bs.As. G.B.A. Oeste,Merlo,U,-58.7311220254696,-34.6673987590984,2021,5254.6400209357
353,1899,278319,49089,2022-10-01,Departamento,110.0,85.0,2,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Merlo,Bs.As. G.B.A. Oeste,Merlo,U,-58.7286404798651,-34.6530076050232,2022,4944.25105458981
61,177,26111,48104,2021-04-01,Departamento,60.0,40.0,1,1,2,0.0,No,0 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Merlo,Bs.As. G.B.A. Oeste,Merlo,N,-58.7243893720025,-34.6584777132312,2021,5041.56647056296
110,1361,197557,43826,2021-05-01,Departamento,65.0,60.0,2,1,3,0.0,No,45 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Merlo,Bs.As. G.B.A. Oeste,Merlo,U,-58.7270575611249,-34.6818827707569,2021,6507.34620155748
