,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_pesos_constantes
214,28986,3458,2021-07-01,Departamento,55.0,0.0,1,1,2,0.0,No,0 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,,N,-58.5150431820408,-34.9065124296057,2021,79651.381664158
1783,275116,12667,2021-07-01,Departamento,63.0,60.0,2,1,3,0.0,No,2 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0.0,Ezeiza,Bs.As. G.B.A. Sur,Ezeiza,U,-58.5206783338055,-34.8559495798004,2021,11223.5029579682
66,9189,131,2021-11-01,Departamento,200.0,50.0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,S,-58.5963641954167,-34.9235039831651,2021,11332.280684731
363,55393,3458,2022-10-01,Departamento,45.0,45.0,1,1,2,,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,1,,1.0,,,,0.0,1.0,,Ezeiza,Bs.As. G.B.A. Sur,,U,-58.5150431820408,-34.9065124296057,2022,31611.3293412596
225,31054,10689,2022-06-01,Departamento,35.0,35.0,2,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Ezeiza,Bs.As. G.B.A. Sur,La Unión,U,-58.5296271719945,-34.8666571608721,2022,4008.9106094602
103,13661,8395,2022-04-01,Departamento,58.0,42.0,1,1,1,0.0,No,0 años,   0,Sí,   0,No,No,No,No,Sí,   0,   0,No,   0,   0,   0,   0,No,Sí,1,0.0,   0,0.0,0.0,0.0,0.0,   0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,N,-58.5101711265806,-34.8795235500238,2022,9760.68147652655
491,72968,9376,2021-02-01,Departamento,45.0,45.0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,La Unión,S,-58.5231979325013,-34.8739511005855,2021,6111.31965412251
1002,153716,12344,2022-01-01,Departamento,73.0,0.0,1,1,2,0.0,Sí,2 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Ezeiza,Bs.As. G.B.A. Sur,Canning,U,-58.5075883350928,-34.8579158988347,2022,24044.1900608595
772,118967,3458,2022-05-01,Departamento,100.0,100.0,3,3,4,,1,0,,1,,0,0,0,0,0,,,0,,,,,0,0,2,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,,N,-58.5150431820408,-34.9065124296057,2022,67660.324675148
81,11108,5764,2022-11-01,Departamento,90.0,90.0,2,2,3,,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,0.0,1.0,1,,,,,,0.0,,,Ezeiza,Bs.As. G.B.A. Sur,Canning,N,-58.5082469262739,-34.8939738740855,2022,16496.5478453786
